ID,EntryTime,Side,EntryPrice,Size,ValueUSDC,TP%,SL%,ExitPrice,PnL_USDC,PnL%,ExitReason,TPOrderID,SLOrderID
84,2026-02-24 15:53:14,SHORT,0.7,6.0,4.199999999999999,0.2381,0.2381,0.44,-1.5599999999999996,-37.14285714285714,STOP_LOSS_LOCAL,0x8cb008e227c34462acaaba967ca5f1ba8df81ade57a6e393f94b586726ae4c84,0.53
83,2026-02-24 15:27:24,SHORT,0.8,6.0,4.800000000000001,0.2083,0.2083,0.99,1.1399999999999997,23.74999999999999,AUTO_CLOSED_OR_MANUAL,0xf65059001c0a6606b0a4bf012a881ce8e79b86bb380e84b77b73d538f33f6f4e,0.63
81,2026-02-24 12:46:29,SHORT,0.5,6.0,3.0,0.3333,0.3333,0.71,1.2599999999999998,41.99999999999999,AUTO_CLOSED_OR_MANUAL,,0.33
80,2026-02-24 12:37:44,SHORT,0.74,6.0,4.4399999999999995,0.2252,0.2252,0.25,-2.94,-66.21621621621621,AUTO_CLOSED_OR_MANUAL,,0.57
79,2026-02-24 12:30:23,SHORT,0.5,6.0,3.0,0.3333,0.3333,0.72,1.3199999999999998,43.99999999999999,AUTO_CLOSED_OR_MANUAL,0x33a1667a4297fad2660c4f4a250dd1b56167a20d937d41e04ed03d24c4cf7760,0.33
78,2026-02-24 12:18:31,LONG,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.84,1.3199999999999998,35.48387096774193,AUTO_CLOSED_OR_MANUAL,0x246a643ee02eb64e91c5fe43e778bde437b870a0831d11960893d120273fefd1,0.45
77,2026-02-24 12:16:34,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.83,1.5,43.10344827586208,AUTO_CLOSED_OR_MANUAL,,0.41
76,2026-02-24 12:13:54,SHORT,0.76,6.0,4.5600000000000005,0.2193,0.2193,0.999,1.434,31.44736842105263,AUTO_CLOSED_OR_MANUAL,,0.59
75,2026-02-24 12:11:13,SHORT,0.66,6.0,3.96,0.2525,0.2525,0.97,1.8599999999999997,46.96969696969696,AUTO_CLOSED_OR_MANUAL,,0.49
74,2026-02-24 12:08:02,LONG,0.6,6.0,3.5999999999999996,0.2778,0.2778,0.365,-1.41,-39.166666666666664,SIGNAL_CHANGE,,0.43
73,2026-02-24 12:00:38,LONG,0.54,6.0,3.24,0.3086,0.3086,0.01,-3.18,-98.14814814814815,SIGNAL_CHANGE,0xcceec1cc503f02a0fd250cc9af449e81abff67aa9b0208b5079ab35402eab6d3,0.37
72,2026-02-24 11:40:49,SHORT,0.65,6.0,3.9000000000000004,0.2564,0.2564,0.2,-2.7,-69.23076923076923,AUTO_CLOSED_OR_MANUAL,,0.48
71,2026-02-24 11:24:42,LONG,0.68,6.0,4.08,0.2451,0.2451,0.48,-1.2000000000000004,-29.41176470588236,STOP_LOSS_LOCAL,0xe8471f17314c427158860e2f7c1f0340e9c00999b3634a3818638d529d32a45a,0.51
70,2026-02-24 11:16:30,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.75,1.0200000000000002,29.310344827586217,AUTO_CLOSED_OR_MANUAL,,0.41
69,2026-02-24 11:06:28,SHORT,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.97,2.0999999999999996,56.4516129032258,AUTO_CLOSED_OR_MANUAL,,0.45
68,2026-02-24 11:00:57,SHORT,0.5,6.0,3.0,0.3333,0.3333,0.7309950248756218,1.385970149253731,46.19900497512437,AUTO_CLOSED_OR_MANUAL,0x0593a4fa23fc7c2dde95ae3a5fbda856f322daff1ee4b4f35e643e2d67a64cab,0.33
67,2026-02-24 10:55:53,LONG,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.37,-1.5,-40.322580645161295,AUTO_CLOSED_OR_MANUAL,,0.45
66,2026-02-24 10:43:46,SHORT,0.82,6.0,4.92,0.2033,0.2033,0.999,1.0740000000000003,21.829268292682933,AUTO_CLOSED_OR_MANUAL,,0.65
65,2026-02-24 10:38:31,SHORT,0.64,6.0,3.84,0.2604,0.2604,0.88,1.44,37.5,AUTO_CLOSED_OR_MANUAL,0xd42693e74c50d8a10c5a2130b75735c8681fd9cb765ca86f21460b6b7ad251ef,0.47
64,2026-02-24 10:36:59,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.28,-1.7999999999999996,-51.72413793103448,STOP_LOSS_LOCAL,0x8c2e9b0732e38f500da2db6f758469f2b3433017928b0da12dfcd5ce1f20ee5b,0.41
63,2026-02-24 10:36:32,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.39,-1.1399999999999997,-32.75862068965517,AUTO_CLOSED_OR_MANUAL,,0.41
62,2026-02-24 10:29:11,SHORT,0.78,6.0,4.68,0.2137,0.2137,0.0,-4.68,-100.0,AUTO_CLOSED_OR_MANUAL,,0.61
61,2026-02-24 00:50:12,SHORT,0.68,6.0,4.08,0.2451,0.2451,0.89,1.2599999999999998,30.882352941176467,AUTO_CLOSED_OR_MANUAL,,0.51
60,2026-02-24 00:48:44,SHORT,0.68,6.0,4.08,0.2451,0.2451,0.88,1.1999999999999997,29.411764705882348,AUTO_CLOSED_OR_MANUAL,,0.51
59,2026-02-24 00:44:00,SHORT,0.64,6.0,3.84,0.2604,0.2604,0.99,2.0999999999999996,54.687499999999986,AUTO_CLOSED_OR_MANUAL,,0.47
58,2026-02-24 00:42:11,SHORT,0.64,6.0,3.84,0.2604,0.2604,0.99,2.0999999999999996,54.687499999999986,AUTO_CLOSED_OR_MANUAL,0xffdc9be7d77bcd8c2ac39efc8e59c16cac807c4ada8de46c93ff65ab183cdf06,0.47
57,2026-02-24 00:39:54,SHORT,0.76,6.0,4.5600000000000005,0.2193,0.2193,0.99,1.38,30.263157894736835,AUTO_CLOSED_OR_MANUAL,,0.59
56,2026-02-24 00:38:40,SHORT,0.76,6.0,4.5600000000000005,0.2193,0.2193,0.99,1.38,30.263157894736835,AUTO_CLOSED_OR_MANUAL,,0.59
55,2026-02-24 00:37:00,LONG,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.41,-1.2600000000000002,-33.870967741935495,SIGNAL_CHANGE,0xc03edd0f68de6c1ae42c747cbe513737cb3ffb2bc76c24aeadcb1f6bf658ce59,0.45
54,2026-02-24 00:35:57,LONG,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.27,-2.0999999999999996,-56.4516129032258,AUTO_CLOSED_OR_MANUAL,0xf579127d44d3fdfea35254eb6be8951c3baf6c9aeb2fcca396e84e1b0cc5c5df,0.45
53,2026-02-24 00:35:31,LONG,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.25,-2.2199999999999998,-59.67741935483871,STOP_LOSS_LOCAL,,0.45
52,2026-02-24 00:31:51,SHORT,0.5,6.0,3.0,0.3333,0.3333,0.595,0.5699999999999998,18.999999999999993,SIGNAL_CHANGE,,0.33
51,2026-02-23 23:57:02,SHORT,0.48,6.0,2.88,0.3472,0.3472,0.967,2.9219999999999997,,MARKET_SETTLED,,0.31
50,2026-02-23 23:55:34,SHORT,0.48,6.0,2.88,0.3472,0.3472,0.48,0.0,0.0,STALE_CLEANUP,,0.31
49,2026-02-23 23:38:49,SHORT,0.54,6.0,3.24,0.3086,0.3086,0.54,0.0,0.0,STALE_CLEANUP,0x18ebacf8aef504b18f0643b078e7c32d2ff91b7a44aeaa42d22107d5795783a1,0.37
48,2026-02-23 23:38:29,SHORT,0.54,6.0,3.24,0.3086,0.3086,0.32,-1.3200000000000003,-40.74074074074075,SIGNAL_CHANGE,0x4ccd9f3c665e23d68982ef49744077a37fbfc8a3aedd724f59a3cfdfd557d915,0.37
47,2026-02-23 23:37:38,SHORT,0.54,6.0,3.24,0.3086,0.3086,0.27,-1.62,-50.0,SIGNAL_CHANGE,0x35cf660b6c97702f1b478ae9cab39e05ecf780f4fadbcbc6e2ba28a31774bf69,0.37
46,2026-02-23 23:37:01,SHORT,0.54,6.0,3.24,0.3086,0.3086,0.24,-1.8000000000000003,-55.55555555555556,STOP_LOSS_LOCAL,,0.37
44,2026-02-23 23:08:41,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.42,-0.9599999999999999,-27.586206896551722,STOP_LOSS_LOCAL,0xcac1a2ed384c7ceeeecc1a992daacda51e0bf10f8f288a5a1d62a7aeb4bc2f01,0.41
43,2026-02-23 23:07:45,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.28,-1.7999999999999996,-51.72413793103448,SIGNAL_CHANGE,,0.41
42,2026-02-23 15:46:40,SHORT,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.58,0.0,0.0,STALE_CLEANUP,,0.41
41,2026-02-22 03:00:36,SHORT,0.59,6.0,3.54,0.2825,0.2825,0.75,0.9600000000000002,27.118644067796616,MANUAL_TAKE_PROFIT,,0.42
40,2026-02-22 02:48:22,SHORT,0.6,6.0,3.5999999999999996,0.2778,0.2778,0.6,0.0,0.0,STALE_CLEANUP,,0.43
39,2026-02-22 02:04:50,SHORT,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.41333333333333333,1.0,28.73563218390805,TAKE_PROFIT,0x2b386ba41782f1cb76fec33396e6617ae417692b88f8eb45c75603ba68e0aee6,0.41
38,2026-02-22 00:53:24,SHORT,0.6,6.0,3.5999999999999996,0.2778,0.2778,0.5,0.5999999999999999,16.666666666666664,MANUAL_CLOSE,,0.43
37,2026-02-22 00:39:28,SHORT,0.68,6.0,4.08,0.2451,0.2451,0.68,0.0,0.0,STALE_CLEANUP,,0.51
36,2026-02-22 00:25:06,SHORT,0.76,6.0,4.5600000000000005,0.2193,0.2193,0.76,0.0,0.0,STALE_CLEANUP,,0.59
35,2026-02-21 23:50:43,SHORT,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.425,-0.9299999999999998,-26.72413793103448,MARKET_SETTLED,,
34,2026-02-21 22:47:15,SHORT,0.635,6.0,3.96,0.2625,0.2625,0.635,0.0,0.0,STALE_CLEANUP,0x5e17bdd317e28b47d1b36f825059ec2cbf670dee5bdeab435b0b97cdd7095769,0xb52d86cbf9b10198f05de103627409bff919da38e0119ea843e1443273c40e15
33,2026-02-21 22:13:51,SHORT,0.695,6.0,4.32,0.2398,0.2398,0.495,1.1999999999999997,27.777777777777768,MARKET_SETTLED,,
32,2026-02-21 21:27:51,LONG,0.685,6.0,4.199999999999999,0.2433,0.2433,0.465,-1.3200000000000003,-31.428571428571438,MARKET_SETTLED,,
27,2026-02-21 14:38:28,SHORT,0.88,6.0,5.28,0.3,0.15,0.365,3.09,58.52272727272727,MARKET_SETTLED,,
26,2026-02-21 14:17:31,SHORT,0.58,6.0,3.4799999999999995,0.3,0.15,0.455,0.7499999999999997,21.55172413793103,MARKET_SETTLED,,
23,2026-02-21 12:36:58,SHORT,0.6,5.0,3.0,0.3,0.15,0.485,0.575,19.166666666666664,MARKET_SETTLED,,
22,2026-02-21 12:20:50,SHORT,0.62,5.0,3.1,0.3,0.15,0.49,0.65,20.967741935483872,MARKET_SETTLED,,
21,2026-02-21 12:08:52,SHORT,0.58,5.0,2.9,0.3,0.15,0.385,0.9749999999999998,33.620689655172406,MARKET_SETTLED,,
20,2026-02-21 11:49:09,LONG,0.58,5.0,2.9,0.3,0.15,0.515,-0.32499999999999973,-11.206896551724128,MARKET_SETTLED,,
19,2026-02-21 09:57:51,SHORT,0.66,5.0,3.3000000000000003,0.3,0.15,0.505,0.7750000000000001,23.484848484848484,MARKET_SETTLED,,
18,2026-02-21 09:22:29,SHORT,0.7,5.0,3.5,0.3,0.15,0.355,1.7249999999999999,49.285714285714285,MARKET_SETTLED,,
15,2026-02-21 06:00:17,SHORT,0.58,6.0,3.48,0.3,0.15,0.475,0.6299999999999999,18.103448275862068,MARKET_SETTLED,,
14,2026-02-21 05:45:21,SHORT,0.58,6.741379310344828,3.91,0.3,0.15,0.435,0.9774999999999998,24.999999999999993,MARKET_SETTLED,,
13,2026-02-21 05:39:27,SHORT,0.58,6.620689655172414,3.84,0.3,0.15,0.545,0.23172413793103394,6.034482758620676,MARKET_SETTLED,,
11,2026-02-21 05:10:41,SHORT,0.68,5.279411764705881,3.59,0.3,0.15,0.345,1.7686029411764705,49.26470588235294,MARKET_SETTLED,,
10,2026-02-21 04:57:16,SHORT,0.62,6.112903225806452,3.79,0.3,0.15,0.335,1.7421774193548387,45.96774193548387,MARKET_SETTLED,,
9,2026-02-21 04:23:57,SHORT,0.8,5.0,4.0,0.3,0.15,0.605,0.9750000000000003,24.375000000000007,MARKET_SETTLED,,
7,2026-02-21 03:39:32,LONG,0.84,5.0,4.2,0.3,0.15,0.525,-1.5749999999999997,-37.49999999999999,MARKET_SETTLED,,
6,2026-02-21 03:24:55,LONG,0.7,5.1571428571428575,3.61,0.3,0.15,0.825,0.6446428571428572,17.857142857142858,MARKET_SETTLED,,
